Broccoli,0.4,0.45,0.7,4
Brussel Sprouts,0.4,0.45,0.7,4
Cabbage,0.5,0.45,0.7,4
Carrots,0.5,0.35,0.7,4
Cauliflower,0.4,0.45,0.7,4
Celery,0.3,0.2,0.7,4
Garlic,0.3,0.3,0.7,4
Lettuce,0.3,0.3,0.7,4
Onions- dry,0.3,0.35,0.7,4
Onions-green,0.3,0.2,0.7,4
Onions-seed,0.3,0.3,0.7,4
Spinach,0.3,0.45,0.7,4
Radishes,0.3,0.3,0.7,4
Egg Plant,0.7,0.45,0.7,4
Sweet Peppers (bell),0.5,0.3,0.7,4
Tomato,0.7,0.4,0.7,4
Cantaloupe,0.9,0.45,0.7,4
Cucumber - Fresh Market,0.7,0.5,0.7,4
Cucumber - Machine Harvest,0.7,0.5,0.7,4
"Pumpkin, Winter Squash",1,0.35,0.7,4
"Squash, Zucchini",0.6,0.5,0.7,4
Sweet Melons,0.8,0.4,0.7,4
Watermelon,0.8,0.4,0.7,4
"Beets, table",0.6,0.5,0.7,4
Cassava - year 1,0.5,0.35,0.7,4
Cassava - year 2,0.7,0.4,0.7,4
Parsnip,0.5,0.4,0.7,4
Potato,0.4,0.35,0.7,4
Sweet Potato,1,0.65,0.7,4
Turnip (and Rutabaga),0.5,0.5,0.7,4
Sugar Beet,0.7,0.55,0.7,4
"Beans, green",0.5,0.45,0.65,3
"Beans, dry and Pulses",0.6,0.45,0.65,3
"Beans, lima, large vines",0.8,0.45,0.65,3
Chick pea,0.6,0.5,0.65,3
Fababean (broad bean) - Fresh,0.5,0.45,0.65,3
Fababean (broad bean) - Dry/Seed,0.5,0.45,0.65,3
Grabanzo,0.6,0.45,0.65,3
Green Gram and Cowpeas,0.6,0.45,0.65,3
Groundnut (Peanut),0.5,0.5,0.7,4
Lentil,0.6,0.5,0.65,3
Peas - Freash,0.6,0.35,0.65,3
Peas - Dry/Seed,0.6,0.4,0.65,3
Soybeans,0.6,0.5,0.65,3
Artichokes,0.6,0.45,0.65,3
Asparagus,1.2,0.45,0.65,3
Mint,0.4,0.4,0.65,3
Strawberries,0.2,0.2,0.65,3
Cotton,1,0.65,0.65,3
Flax,1,0.5,0.65,3
Sisal,0.5,0.8,0.65,3
Castorbean (Ricinus),1,0.5,0.65,3
"Rapeseed, Canola",1,0.6,0.65,3
Safflower,1,0.6,0.65,3
Sesame,1,0.6,0.65,3
Sunflower,0.8,0.45,0.7,4
Barley,1,0.55,0.75,5
Oats,1,0.55,0.75,5
Spring Wheat,1,0.55,0.75,5
Winter Wheat,1.5,0.55,0.75,5
"Maize, Field (grain) (field corn)",1,0.55,0.75,5
"Maize, Sweet (sweet corn)",0.8,0.5,0.75,5
Millet,1,0.55,0.75,5
Sorghum - grain,1,0.55,0.75,5
Sorghum - sweet,1,0.5,0.75,5
Rice,0.5,0.2,1.2,8
Alfalfa - for hay,1,0.55,0.55,1
Alfalfa - for seed,1,0.6,0.6,2
Bermuda - for hay,1,0.55,0.55,1
Bermuda - Spring crop for seed,1,0.6,0.6,2
"Clover hay, Berseem",0.6,0.5,0.55,1
Rye Grass hay,0.6,0.6,0.55,1
Sudan Grass hay (annual),1,0.55,0.55,1
?Grazing Pasture - Rotated Grazing,0.5,0.6,0.8,6
Grazing Pasture - Extensive Grazing ,0.5,0.6,0.8,6
Turf grass - cool season,0.5,0.4,0.95,6
Turf grass - warm session ,0.5,0.5,0.85,6
Sugar Cane,1.2,0.65,0.8,6
Berries (bushes),0.6,0.5,0.55,1
Grapes - Table or Raisin,1,0.35,0.55,1
Grapes - Table or Raisin,1,0.45,0.55,1
Hops,1,0.5,0.55,1
Almonds,1,0.4,0.65,3
"Apples, Cherries, Pears",1,0.5,0.65,3
"Apricots, Peaches, Stone Fruit",1,0.5,0.65,3
Avocado,0.5,0.7,0.65,3
Citrus - 70% Capony,1.2,0.5,0.55,1
Citrus - 50% Capony,1.1,0.5,0.55,1
Citrus - 20% Capony,0.8,0.5,0.55,1
Conifer Trees,1,0.7,0.65,3
Kiwi,0.7,0.35,0.8,6
Olives (40 to 60% ground coverage by canopy),1.2,0.65,0.55,1
Pistachios,1,0.4,0.65,3
Walnut Orchard,1.7,0.5,0.65,3
Other Leafy Vegetables,0.15,0.4,0.7,4
Other Large Crop Plants,0.3,0.55,0.75,5
Other Tree Crops,0.5,0.52,0.65,3
